frame_idx,level,count,gpu_mem_mb
1,P3,0,0
2,P4,0,0
3,P5,0,0
4,P3,4,4
5,P4,15,15
6,P5,2,2
7,P3,5,9
8,P4,14,29
9,P5,1,3
10,P3,8,17
11,P4,16,45
12,P5,1,4
13,P3,1,18
14,P4,15,60
15,P5,3,7
16,P3,3,21
17,P4,16,76
18,P5,2,9
19,P3,2,23
20,P4,15,91
21,P5,3,12
22,P3,2,25
23,P4,18,109
24,P5,0,12
25,P3,5,30
26,P4,13,122
27,P5,2,14
28,P3,3,33
29,P4,14,136
30,P5,1,15
31,P3,0,33
32,P4,19,155
33,P5,0,15
34,P3,5,38
35,P4,13,168
36,P5,0,15
37,P3,1,39
38,P4,18,186
39,P5,2,17
40,P3,1,40
41,P4,15,201
42,P5,3,20
43,P3,1,41
44,P4,15,216
45,P5,0,20
46,P3,0,0
47,P4,0,0
48,P5,0,0
49,P3,9,9
50,P4,42,42
51,P5,22,22
52,P3,8,17
53,P4,44,86
54,P5,21,43
55,P3,6,23
56,P4,39,125
57,P5,24,67
58,P3,10,33
59,P4,45,170
60,P5,21,88
61,P3,10,43
62,P4,48,218
63,P5,21,109
64,P3,0,0
65,P4,0,0
66,P5,0,0
67,P3,0,0
68,P4,21,21
69,P5,3,3
70,P3,0,0
71,P4,22,43
72,P5,6,9
73,P3,0,0
74,P4,19,62
75,P5,4,13
76,P3,0,0
77,P4,17,79
78,P5,5,18
79,P3,0,0
80,P4,24,103
81,P5,3,21
82,P3,0,0
83,P4,20,123
84,P5,3,24
85,P3,0,0
86,P4,26,149
87,P5,5,29
88,P3,0,0
89,P4,22,171
90,P5,6,35
91,P3,0,0
92,P4,17,188
93,P5,5,40
94,P3,0,0
95,P4,24,212
96,P5,2,42
97,P3,0,0
98,P4,20,232
99,P5,4,46
100,P3,0,0
101,P4,28,260
102,P5,6,52
103,P3,0,0
104,P4,15,275
105,P5,9,61
106,P3,0,0
107,P4,27,302
108,P5,7,68
109,P3,0,0
110,P4,21,323
111,P5,4,72
112,P3,0,0
113,P4,16,339
114,P5,9,81
115,P3,0,0
116,P4,25,364
117,P5,3,84
118,P3,0,0
119,P4,24,388
120,P5,6,90
121,P3,0,0
122,P4,19,407
123,P5,7,97
124,P3,0,0
125,P4,15,422
126,P5,8,105
127,P3,0,0
128,P4,21,443
129,P5,7,112
130,P3,0,0
131,P4,23,466
132,P5,3,115
133,P3,0,0
134,P4,25,491
135,P5,3,118
136,P3,0,0
137,P4,19,510
138,P5,6,124
139,P3,0,0
140,P4,18,528
141,P5,7,131
142,P3,0,0
143,P4,18,546
144,P5,6,137
145,P3,0,0
146,P4,23,569
147,P5,9,146
148,P3,0,0
149,P4,23,592
150,P5,4,150
151,P3,0,0
152,P4,22,614
153,P5,4,154
154,P3,0,0
155,P4,15,629
156,P5,9,163
157,P3,1,1
158,P4,22,651
159,P5,4,167
160,P3,0,1
161,P4,23,674
162,P5,6,173
163,P3,0,1
164,P4,23,697
165,P5,1,174
166,P3,0,1
167,P4,22,719
168,P5,6,180
169,P3,0,0
170,P4,0,0
171,P5,0,0
